ID,Accession Number,Author-Supplied Keywords,Authors,Company/Entity,Cut and Paste,DOI,Document Type,Full Text Word Count,Geographic Terms,ISSN,Notes,People,Publication Model,Reviews & Products,Source,Subject Terms,Title,UR,Full Text (y/n)
PT-0303,153608111,coronavirus neoliberalism pandemic Trump,"Warf, Barney (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153608111&site=ehost-live&scope=site"">THE CORONAVIRUS PANDEMIC AND AMERICAN NEOLIBERALISM.</A> *Database: * Academic Search Premier",10.1080/00167428.2021.1884981,Article,6286,,0016-7428,Journal available in UVA libraries,"TRUMP, Donald, 1946-",,,"Geographical Review. 2021, Vol. 111 Issue 4, p496-509. 14p.",*COVID-19 pandemic *PRESIDENTIAL administrations *SOCIAL distancing,THE CORONAVIRUS PANDEMIC AND AMERICAN NEOLIBERALISM.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153608111&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153608111&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=153608111&site=ehost-live&scope=site>,y
PT-0304,134830204,academic transitions higher education learning and teaching Research/teaching nexus widening participation,"Clark, Tom^1 Hordosy, Rita^2 rita.hordosy@manchester.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134830204&site=ehost- live&scope=site"">Undergraduate experiences of the research/teaching nexus across the whole student lifecycle.</A> *Database: * Academic Search Premier",10.1080/13562517.2018.1544123,Article,,UNITED Kingdom,1356-2517,,,,,"Teaching in Higher Education. Apr2019, Vol. 24 Issue 3, p412-427. 16p. 1 Chart.",*EDUCATIONAL technology *TEACHING methods *ACADEMIC achievement *EFFECTIVE teaching *YOUNG adults *HIGHER education,Undergraduate experiences of the research/teaching nexus across the whole student lifecycle.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134830204&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134830204&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134830204&site=ehost-live&scope=site>,y
PT-0305,142671788,attention bias communication mode emotional reporting information selection post-truth era social cue,"Xiu, Lichao^1 Yang, Ya^1 Han, Ting^1 Yu, Guoming^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142671788&site=ehost- live&scope=site"">Emotional expression inhibits attention bias: From the post-truth era perspective.</A> *Database: * Academic Search Premier",10.2224/sbp.8961,Article,,,0301-2212,Journal available in UVA libraries,,,,"Social Behavior & Personality: an international journal. Apr2020, Vol. 48 Issue 4, p1-9. 9p.",*SELF-expression *PUBLIC interest groups *ATTENTIONAL bias *CHARISMA *PUBLIC opinion *FEATURE selection,Emotional expression inhibits attention bias: From the post-truth era perspective.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142671788&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142671788&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142671788&site=ehost-live&scope=site>,n
PT-0306,163955960,information effects political epistemology post truth,"Ahlstrom-Vij, Kristoffer^1 k.ahlstrom-vij@bbk.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163955960&site=ehost-live&scope=site"">Do We Live in a 'Post-Truth' Era?</A> *Database: * Academic Search Premier",10.1177/00323217211026427,Article,,,0032-3217,,,,,"Political Studies. May2023, Vol. 71 Issue 2, p501-517. 17p. 1 Diagram, 2 Charts, 2 Graphs.",*TRUTH *ELECTIONS *POLITICAL science *EMIGRATION & immigration *GUN laws,Do We Live in a 'Post-Truth' Era?,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163955960&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163955960&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163955960&site=ehost-live&scope=site>,y
PT-0307,161542831,algorithmic literacy algorithms data literacies education game design social media,"Thumlert, Kurt^1 kthumlert@edu.yorku.ca McBride, Melanie^2 Tomin, Brittany^3 Nolan, Jason^2 Lotherington, Heather^1 Boreland, Taylor^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161542831&site=ehost- live&scope=site"">ALGORITHMIC LITERACIES: IDENTIFYING EDUCATIONAL MODELS AND HEURISTICS FOR ENGAGING THE CHALLENGE OF ALGORITHMIC CULTURE.</A> *Database: * Academic Search Premier",,Article,,,1836-8301,,,,,"Digital Culture & Education. 2022, Vol. 14 Issue 4, p19-35. 17p.",*ALGORITHMS *EDUCATIONAL technology *SOCIAL media,ALGORITHMIC LITERACIES: IDENTIFYING EDUCATIONAL MODELS AND HEURISTICS FOR ENGAGING THE CHALLENGE OF ALGORITHMIC CULTURE.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161542831&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161542831&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161542831&site=ehost-live&scope=site>,n
PT-0308,144889701,,"Banaji, Shakuntala^1 (AUTHOR)s.banaji@lse.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=144889701&site=ehost-live&scope=site"">A Review of Victor Seidler's Making Sense of Brexit: Democracy, Brexit and Post-Truth Politics (2018, Policy Press).</A> *Database: * Academic Search Premier",10.1007/s10767-020-09350-y,Article,,,0891-4486,,,,,"International Journal of Politics, Culture & Society. Sep2020, Vol. 33 Issue 3, p429-435. 7p.","*BRITISH withdrawal from the European Union, 2016-2020 *BREXIT Referendum, 2016 *POLITICAL knowledge *EUROPEANS *MOTIVATION (Psychology) *SOCIAL classes *VOTE buying","A Review of Victor Seidler's Making Sense of Brexit: Democracy, Brexit and Post-Truth Politics (2018, Policy Press).",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=144889701&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=144889701&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=144889701&site=ehost-live&scope=site>,n
PT-0309,169774514,Democracy Digital literacy Disintermediation Fake news International relations Journalism Political communication Politics Social media Technopolitics Ukraine’s war,"Pérez-Escoda, Ana^1 aperezes@nebrija.es Freire, Maria-Raquel^2 rfreire@fe.uc.pt",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169774514&site=ehost-live&scope=site"">Digital literacy and technopolitics, core enablers in a disintermediated digital political communication age.</A> *Database: * Academic Search Premier",10.3145/epi.2023.jul.12Art,Article,,UKRAINE,1386-6710,,,,,"El Profesional de la Información. 2023, Vol. 32 Issue 4, p1-12. 12p. 1 Map.",*DIGITAL literacy *POLITICAL communication *DIGITAL communications *DIGITAL technology *MEDIA literacy *HISTORICAL literacy,"Digital literacy and technopolitics, core enablers in a disintermediated digital political communication age.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169774514&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169774514&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169774514&site=ehost-live&scope=site>,n
PT-0310,169952039,aperspectival view facts faithfulness to facts Objectivity realism theory-ladenness underdetermination values,"Stamenkovic, Philippe^1,2 (AUTHOR)p.stamenkovic@free.fr",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169952039&site=ehost-live&scope=site"">Facts and objectivity in science.</A> *Database: * Academic Search Premier",10.1080/03080188.2022.2150807,Article,,,0308-0188,,,,,"Interdisciplinary Science Reviews. May2023, Vol. 48 Issue 2, p277-298. 22p. 1 Diagram.",*OBJECTIVITY *COMPLEXITY (Philosophy) *KOLMOGOROV complexity,Facts and objectivity in science.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169952039&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169952039&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=169952039&site=ehost-live&scope=site>,y
PT-0311,152008331,academic freedom Freedom of speech freedom to learn freedom to teach higher education post-truth era,"Oleksiyenko, Anatoly V.^1 Jackson, Liz^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152008331&site=ehost-live&scope=site"">Freedom of speech, freedom to teach, freedom to learn: The crisis of higher education in the post-truth era.</A> *Database: * Academic Search Premier",10.1080/00131857.2020.1773800,Article,3260,,0013-1857,,,,,"Educational Philosophy & Theory. Oct2021, Vol. 53 Issue 11, p1057-1062. 6p.",*FREEDOM of speech *ACADEMIC freedom *HIGHER education *STUDENT rights *EDUCATION & society,"Freedom of speech, freedom to teach, freedom to learn: The crisis of higher education in the post-truth era.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152008331&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152008331&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152008331&site=ehost-live&scope=site>,y
PT-0312,176099901,,"Yosimbom, Hassan Mbiydzenyuy (AUTHOR)yoshassmbiy@yahoo.com",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=176099901&site=ehost-live&scope=site"">Consider the Base for Representation at the Top: Political Parties and Women's Parliamentary Representation in Ghana's Fourth Republic 1 .</A> *Database: * Academic Search Premier",10.2979/at.00007,Article,10100,GHANA,0001-9887,,,,,"Africa Today. Spring2024, Vol. 70 Issue 3, p50-73. 24p.",*POLITICAL parties *REPRESENTATIVE government *CANON (Literature) *AFRICAN literature,Consider the Base for Representation at the Top: Political Parties and Women's Parliamentary Representation in Ghana's Fourth Republic 1 .,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=176099901&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=176099901&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=176099901&site=ehost-live&scope=site>,y
PT-0313,162915583,Content Similarity Measure Content similarity score Fact-checking Healthcare Misinformation detection Natural language processing Similarity measures,"Barve, Yashoda^1 (AUTHOR) Saini, Jatinderkumar R.^2 (AUTHOR)saini_expert@yahoo.com",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162915583&site=ehost- live&scope=site"">Detecting and classifying online health misinformation with 'Content Similarity Measure (CSM)' algorithm: an automated fact-checking-based approach.</A> *Database: * Academic Search Premier",10.1007/s11227-022-05032-y,Article,10656,,0920-8542,,,,,"Journal of Supercomputing. May2023, Vol. 79 Issue 8, p9127-9156. 30p.",*NATURAL language processing *DIGITAL technology *UNIFORM Resource Locators *ALGORITHMS *MISINFORMATION *USER-generated content *COMPUTER passwords *MACHINE learning,Detecting and classifying online health misinformation with 'Content Similarity Measure (CSM)' algorithm: an automated fact-checking- based approach.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162915583&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162915583&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162915583&site=ehost-live&scope=site>,y
PT-0314,162233043,ASD diagnosis Autism spectrum disorder Mexican-heritage families Multiple case study design,"Cohen, Shana R.^1 shanarcohen@ucsd.edu Miguel, Jessica^1 Trejos, Jessica^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162233043&site=ehost-live&scope=site"">ASD Diagnosis and Treatment Experiences Among Mexican Heritage Families.</A> *Database: * Academic Search Premier",10.1007/s10803-022-05512-3,Article,12612,,0162-3257,,,,,"Journal of Autism & Developmental Disorders. Mar2023, Vol. 53 Issue 3, p1017-1033. 17p. 3 Charts, 1 Graph.",*DIAGNOSIS of autism *TREATMENT of autism *MEXICAN Americans *RESEARCH methodology *FAMILIES *INTERVIEWING *PATIENTS' attitudes *CASE studies *DESCRIPTIVE statistics,ASD Diagnosis and Treatment Experiences Among Mexican Heritage Families.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162233043&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162233043&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162233043&site=ehost-live&scope=site>,y
PT-0315,148805054,Anomie Durkheim Foucault intergenerational wealth inequalities Mental health post-truth social imaginary young people,"Bolton, Derek^1 Bhugra, Dinesh^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148805054&site=ehost-live&scope=site"">Changes in society and young people's mental health1.</A> *Database: * Academic Search Premier",10.1080/09540261.2020.1753968,Article,,,0954-0261,,,,,"International Review of Psychiatry. Feb-Mar2021, Vol. 33 Issue 1/2, p154-161. 8p.",*MENTAL illness treatment *CLIMATE change *CULTURE *INTERGENERATIONAL relations *MENTAL health *SOCIAL skills *SOCIOECONOMIC factors,Changes in society and young people's mental health1.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148805054&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148805054&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148805054&site=ehost-live&scope=site>,y
PT-0316,122173569,,"Peters, Michael A.^1 (AUTHOR)mpeters@waikato.ac.nz",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173569&site=ehost- live&scope=site"">Education in a post-truth world.</A> *Database: * Academic Search Premier",10.1080/00131857.2016.1264114,Article,,,0013-1857,,"TRUMP, Donald, 1946-",,,"Educational Philosophy & Theory. Jun2017, Vol. 49 Issue 6, p563-566. 4p.",*TRUTHFULNESS & falsehood in politics *IMMIGRATION policy *EDUCATION & politics *TEACHING *PHILOSOPHY of education *STAKEHOLDERS *TEACHERS *EDUCATION *DEMOCRACY,Education in a post-truth world.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173569&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173569&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173569&site=ehost-live&scope=site>,y
PT-0317,134829914,citizen education death of the subject dissidence Eastern Europe postmodernism social participation Utopia,"Terentowicz-Fotyga, Urszula^1 uterentowicz@hektor.umcs.lublin.pl",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134829914&site=ehost-live&scope=site"">The power of social dreaming: Reappraising the lesson of East European dissidents.</A> *Database: * Academic Search Premier",10.1080/00131857.2018.1477045,Article,,EASTERN Europe,0013-1857,,"MORE, Thomas, Sir, Saint, 1478-1535",,,"Educational Philosophy & Theory. Mar2019, Vol. 51 Issue 3, p346-355. 10p.",*POSTMODERNISM (Philosophy) *POSTMODERNISM & higher education *PHILOSOPHY,The power of social dreaming: Reappraising the lesson of East European dissidents.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134829914&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134829914&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=134829914&site=ehost-live&scope=site>,y
PT-0318,146930583,A winter's day in 1939 Breaking stalin's nose Critical engagement Eugene Yelchin Melinda Szymanik Trauma fiction Truth-telling,"Oziewicz, Marek^1 mco@umn.edu",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146930583&site=ehost-live&scope=site"">Truth- Telling, Trauma Fiction, and the Challenge of Critical Engagement: A Reading of Breaking Stalin's Nose and A Winter's Day in 1939.</A> *Database: * Academic Search Premier",10.1007/s10583-019-09396-3,Article,8281,SOVIET Union,0045-6713,,"YELCHIN, Eugene, 1956- SZYMANIK, Melinda",,"WINTER'S Day in 1939, A (Book)","Children's Literature in Education. Dec2020, Vol. 51 Issue 4, p519-533. 15p.",*ATROCITIES,"Truth-Telling, Trauma Fiction, and the Challenge of Critical Engagement: A Reading of Breaking Stalin's Nose and A Winter's Day in 1939.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146930583&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146930583&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146930583&site=ehost-live&scope=site>,y
PT-0319,155893308,Anthropocene biodiversity loss/conservation climate change colonialism displacement/migration global environmental change nuclear contamination Antropoceno cambio ambiental global cambio climático colonialismo contaminación nuclear desplazamiento/migración pérdida/conservación de la biodiversidad 人类世 全球环境变化 核污染。 殖民主义 气候变化 生物多样性丧失（保护） 迁移（移民） Language of Keywords: English; Spanish; Chinese,"Lunstrum, Elizabeth^1 libbylunstrum@boisestate.edu Bose, Pablo S.^2 pbose@uvm.edu",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155893308&site=ehost- live&scope=site"">Environmental Displacement in the Anthropocene.</A> *Database: * Academic Search Premier",10.1080/24694452.2021.1995316,Article,,,2469-4452,,,,,"Annals of the American Association of Geographers. 2022, Vol. 112 Issue 3, p644-653. 10p.",*ANTHROPOCENE Epoch *CLIMATE change *EMIGRATION & immigration *GLOBAL environmental change *BIODIVERSITY,Environmental Displacement in the Anthropocene.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155893308&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155893308&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155893308&site=ehost-live&scope=site>,y
PT-0320,156168713,deepfakes digital culture face studies semiotic software visual manipulation,"Poulsen, Søren Vigild^1 vigild@sdu.dk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156168713&site=ehost-live&scope=site"">Face off - a semiotic technology study of software for making deepfakes.</A> *Database: * Academic Search Premier",10.12697/SSS.2021.49.3-4.12,Article,,,1406-4243,,,,,"Sign Systems Studies. 2021, Vol. 49 Issue 3/4, p489-508. 20p.",*SEMANTICS *SEMIOTICS *SIGNS & symbols *SYMBOLISM *COMPARATIVE linguistics,Face off - a semiotic technology study of software for making deepfakes.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156168713&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156168713&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156168713&site=ehost-live&scope=site>,n
PT-0321,156266808,grit military Moral competence resilience simulation virtual reality,"Georgoulas-Sherry, Vasiliki^1 vg2346@tc.columbia.edu Hernandez, Hanna G.^2",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156266808&site=ehost-live&scope=site"">The effects of grit and resilience on moral competence following simulated combat exposure.</A> *Database: * Academic Search Premier",10.1080/08995605.2021.1982631,Article,,UNITED States,0899-5605,,,,,"Military Psychology. Mar/Apr2022, Vol. 34 Issue 2, p167-174. 8p.",*ETHICS *WAR *VIRTUAL reality *SELF-evaluation *POST-traumatic stress disorder *COURAGE *PROFESSIONAL competence *UNIVERSITIES & colleges *PSYCHOLOGICAL resilience *MILITARY personnel,The effects of grit and resilience on moral competence following simulated combat exposure.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156266808&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156266808&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156266808&site=ehost-live&scope=site>,n
PT-0322,174831128,acknowledgements children's rights existential paradigm Girl Rising movement grown-up way post-truth derechos de los niños manera adulta movimiento Girl Rising paradigma existencial posverdad reconocimientos direitos das crianças forma adulta movimento Rising Girl pós-verdade reconhecimentos Language of Keywords: English; Spanish; Portuguese,"ljungblad, ann-louise^1 ann-louise.ljungblad@mau.se",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174831128&site=ehost-live&scope=site"">greta thunberg -- a unique voice in a post-truth era.</A> *Database: * Academic Search Premier",10.12957/childphilo.2023.69835,Article,,,2525-5061,,,,,"Childhood & Philosophy. 2023, Vol. 19, p1-32. 32p.",*CHILDREN'S rights *ADULTS CONVENTION on the Rights of the Child,greta thunberg -- a unique voice in a post-truth era.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174831128&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174831128&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174831128&site=ehost-live&scope=site>,n
PT-0323,175885343,,"Schrum, Kelly^1 Abbot, Sophia^1 Loughry, Allie^2 Catalano, Chase J.^3",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=175885343&site=ehost-live&scope=site"">""I Wanted to Know!"": Engaging Learners in the History of Higher Education through Authentic Digital Assessment.</A> *Database: * Academic Search Premier",,Article,,UNITED States,0018-2745,,,,,"History Teacher. Feb2024, Vol. 57 Issue 2, p153-177. 25p.",*STUDENT engagement *AUTHENTIC assessment *HISTORY education *HIGHER education *HISTORY of education *DIGITAL technology,"""I Wanted to Know!"": Engaging Learners in the History of Higher Education through Authentic Digital Assessment.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=175885343&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=175885343&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=175885343&site=ehost-live&scope=site>,n
PT-0324,156401604,Academia Intellectuals Media Moderation Opinion Political discourse,"Ellis, Charlie^1 charliejellis@gmail.com",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156401604&site=ehost- live&scope=site"">Confronting Plausible Simplicities and Bridging the Tragic Chasm: Bernard Crick's Political Journalism Reconsidered.</A> *Database: * Academic Search Premier",10.1007/s12115-021-00657-w,Article,8478,,0147-2011,,"CRICK, Bernard, 1929-2008",,,"Society. Dec2021, Vol. 58 Issue 6, p483-492. 10p.",*POLEMICS *INTELLECTUALS *POLITICAL attitudes *MASS media & politics,Confronting Plausible Simplicities and Bridging the Tragic Chasm: Bernard Crick's Political Journalism Reconsidered.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156401604&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156401604&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=156401604&site=ehost-live&scope=site>,y
PT-0325,155436660,didacticism Exemplum experience narrative theory narratology Saint Birgitta sermon Vadstena,"Katajala-Peltomaa, Sari^1 (AUTHOR)sari.katajala-peltomaa@tuni.fi Mäkelä, Maria^1 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155436660&site=ehost- live&scope=site"">Conversion as an exemplary experience in the 14th century and today: narrative-comparative approaches to the Exemplum.</A> *Database: * Academic Search Premier",10.1080/03468755.2021.2019106,Article,12255,,0346-8755,,,,,"Scandinavian Journal of History. Feb2022, Vol. 47 Issue 1, p16-38. 23p.",*NARRATOLOGY *SOCIAL media *DIDACTICISM,Conversion as an exemplary experience in the 14th century and today: narrative-comparative approaches to the Exemplum.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155436660&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155436660&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=155436660&site=ehost-live&scope=site>,y
